11 3
1 8.51 10
2 29.21 17
3 3.11 19
4 8.94 13
5 21.04 16
6 3.75 19
7 29.83 12
8 22.63 17
9 4.08 20
10 27.05 12
11 8.75 20
0.00	3.02	2.28	5.70	5.47	4.28	3.76	1.69	4.11	7.09	7.07	1.81	11.84	5.72	16.22	
3.02	0.00	10.14	0.54	12.48	16.85	13.89	16.53	16.91	0.11	2.41	19.61	10.79	15.43	2.98	
2.28	10.14	0.00	7.83	0.28	17.52	10.86	15.73	8.84	12.44	18.40	4.56	1.35	7.60	1.57	
5.70	0.54	7.83	0.00	3.44	3.51	8.69	6.95	12.91	13.81	14.11	19.43	4.72	4.33	2.37	
5.47	12.48	0.28	3.44	0.00	2.81	14.79	7.28	13.09	13.60	2.07	13.31	19.14	2.78	8.58	
4.28	16.85	17.52	3.51	2.81	0.00	7.39	12.98	13.60	18.21	5.97	13.49	3.33	7.54	12.86	
3.76	13.89	10.86	8.69	14.79	7.39	0.00	3.43	9.55	12.79	17.24	15.70	1.39	11.77	12.18	
1.69	16.53	15.73	6.95	7.28	12.98	3.43	0.00	18.68	11.11	12.68	17.92	7.19	4.37	13.52	
4.11	16.91	8.84	12.91	13.09	13.60	9.55	18.68	0.00	2.78	2.06	10.86	11.59	1.76	16.14	
7.09	0.11	12.44	13.81	13.60	18.21	12.79	11.11	2.78	0.00	17.57	1.81	4.56	18.75	1.70	
7.07	2.41	18.40	14.11	2.07	5.97	17.24	12.68	2.06	17.57	0.00	8.12	3.73	4.36	6.03	
1.81	19.61	4.56	19.43	13.31	13.49	15.70	17.92	10.86	1.81	8.12	0.00	3.92	6.51	6.23	
11.84	10.79	1.35	4.72	19.14	3.33	1.39	7.19	11.59	4.56	3.73	3.92	0.00	6.95	10.81	
5.72	15.43	7.60	4.33	2.78	7.54	11.77	4.37	1.76	18.75	4.36	6.51	6.95	0.00	19.12	
16.22	2.98	1.57	2.37	8.58	12.86	12.18	13.52	16.14	1.70	6.03	6.23	10.81	19.12	0.00	
